"name" "x" "y" "city"
"1" "Almeria" -2.4675 36.84 "Yes"
"2" "Cadiz" -6.28333333333333 36.5333333333333 "Yes"
"3" "Cordoba" -4.77888888888889 37.8847222222222 "Yes"
"4" "Granada" -3.5975 37.1758333333333 "Yes"
"5" "Huelva" -6.96305555555556 37.2638888888889 "Yes"
"6" "Jaen" -3.76666666666667 37.7666666666667 "Yes"
"7" "Malaga" -4.42 36.7194444444444 "Yes"
"8" "Sevilla" -5.99638888888889 37.3830555555556 "Yes"
"9" "Northern" -5.04611111111111 38.7286111111111 "No"
"10" "Southern" -5.61055555555556 36 "No"
"11" "Western" -7.52222222222222 37.555 "No"
"12" "Eastern" -1.62861111111111 37.3738888888889 "No"
